,zip_code,rent
1,77002,1706
2,77003,1551
3,77004,1551
4,77005,2171
5,77006,2171
6,77007,2171
7,77008,2171
8,77009,1551
9,77010,2171
10,77011,1551
11,77012,1551
12,77013,1551
13,77014,1551
14,77015,1551
15,77016,1551
16,77017,1551
17,77018,1551
18,77019,2171
19,77020,1551
20,77021,2171
21,77022,1551
22,77023,1551
23,77024,2171
24,77025,1861
25,77026,1551
26,77027,2171
27,77028,1551
28,77029,1551
29,77030,2171
30,77031,1551
31,77032,1551
32,77033,1706
33,77034,1706
34,77035,1551
35,77036,1551
36,77037,1706
37,77038,1706
38,77039,1551
39,77040,1706
40,77041,2171
41,77042,1706
42,77043,1706
43,77044,1706
44,77045,1706
45,77046,2171
46,77047,1706
47,77048,1551
48,77049,1706
49,77050,1551
50,77051,1551
51,77053,1706
52,77054,1706
53,77055,1551
54,77056,2171
55,77057,1706
56,77058,1706
57,77059,2171
58,77060,1551
59,77061,1551
60,77062,1861
61,77063,1551
62,77064,1706
63,77065,1861
64,77066,1706
65,77067,1551
66,77068,1706
67,77069,1706
68,77070,2171
69,77071,1551
70,77072,1706
71,77073,1706
72,77074,1551
73,77075,1706
74,77076,1551
75,77077,2171
76,77078,1706
77,77079,2171
78,77080,1551
79,77081,1551
80,77082,1706
81,77083,1706
82,77084,2171
83,77085,1706
84,77086,1706
85,77087,1551
86,77088,1551
87,77089,1706
88,77090,1706
89,77091,1551
90,77092,1551
91,77093,1551
92,77094,2171
93,77095,1861
94,77096,1551
95,77098,2171
96,77099,1551
97,77302,1706
98,77327,1551
99,77336,1861
100,77338,1706
101,77345,1861
102,77346,2171
103,77354,1706
104,77355,1706
105,77357,1551
106,77362,1861
107,77365,1551
108,77373,2171
109,77375,1861
110,77377,1861
111,77379,1861
112,77380,2171
113,77381,2171
114,77382,2171
115,77386,2171
116,77387,2171
117,77388,2171
118,77390,2171
119,77391,2171
120,77398,1706
121,77403,2171
122,77408,1861
123,77409,2171
124,77425,1551
125,77431,2171
126,77435,2171
127,77443,1551
128,77447,1551
129,77449,1861
130,77451,1861
131,77452,2171
132,77461,2171
133,77471,1551
134,77473,1551
135,77479,2171
136,77480,2171
137,77481,2171
138,77486,1551
139,77491,2171
140,77495,2171
141,77496,2171
142,77500,2171
143,77505,1551
144,77506,1551
145,77508,1551
146,77509,1706
147,77513,1551
148,77522,1551
149,77523,1551
150,77532,1706
151,77534,1706
152,77537,1551
153,77538,1706
154,77541,1706
155,77547,2171
156,77548,2171
157,77549,1551
158,77564,1706
159,77567,2171
160,77573,1861
161,77575,2171
162,77579,1551
163,77580,2171
164,77583,1861
165,77585,1706
166,77586,2171
167,77588,1706
168,77589,1551
